name,gender,age,class,embarked,country,ticketno,fare,sibsp,parch,survived,PassengerId,Age Group,Fare Quartile,cabin,member_type,is_survived,port,bridge,is_survived2,diff
"Allison, Miss. Helen Loraine",female,2,1st,S,Canada,113781,151.16,1,2,no,298,0-15,3,C22 C26,Passenger,0,"Southampton, England",Bridge C,0,0
"Allison, Mr. Hudson Joshua Creighton",male,30,1st,S,Canada,113781,151.16,1,2,no,1198,31-45,3,C22 C26,Passenger,0,"Southampton, England",Bridge C,0,0
"Allison, Mrs. Bessie Waldo",female,25,1st,S,United States,113781,151.16,1,2,no,26,16-30,3,No cabin found,Passenger,0,"Southampton, England",No bridge found,1,1
"Allum, Mr. Owen George",male,18,3rd,S,England,2223,8.06,0,0,no,835,16-30,1,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Al-Munà, Mr. Farīd Husayn Qāsim",male,19,3rd,C,Lebanon,2700,7.0407,0,0,no,28,16-30,Minimum,C23 C25 C27,Passenger,0,"Cherbourg, France",Bridge C,0,0
"Andersen-Jensen, Miss. Carla Christine Nielsine",female,19,3rd,S,Denmark,350046,7.1701,1,0,yes,193,16-30,Minimum,No cabin found,Passenger,1,"Southampton, England",No bridge found,1,0
"Andersen, Mr. Albert Karvin",male,33,3rd,S,Norway,4001,22.1006,0,0,no,1102,31-45,2,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Anderson, Mr. Harry",male,47,1st,S,United States,19952,26.11,0,0,yes,461,45-60,2,E12,Passenger,1,"Southampton, England",Bridge E,1,0
"Andersson, Master. Sigvard Harald Elias",male,4,3rd,S,Sweden,347082,31.0506,4,2,no,851,0-15,2,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Andersson, Miss. Ebba Iris Alfrida",female,6,3rd,S,Sweden,347082,31.0506,4,2,no,814,0-15,2,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Andersson, Miss. Ellis Anna Maria",female,2,3rd,S,Sweden,347082,31.0506,4,2,no,120,0-15,2,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Andersson, Miss. Erna Alexandra",female,16,3rd,S,Finland,3101281,7.1806,4,2,yes,69,16-30,1,No cabin found,Passenger,1,"Southampton, England",No bridge found,1,0
"Andersson, Miss. Ida Augusta Margareta",female,38,3rd,S,Sweden,347091,7.1506,4,2,no,1106,31-45,Minimum,No cabin found,Passenger,0,"Southampton, England",No bridge found,1,1
"Andersson, Miss. Ingeborg Constanzia",female,9,3rd,S,Sweden,347082,31.0506,4,2,no,542,0-15,2,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Andersson, Miss. Sigrid Elisabeth",female,11,3rd,S,Sweden,347082,31.0506,4,2,no,543,0-15,2,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Andersson, Mr. Anders Johan",male,39,3rd,S,Sweden,347082,31.0506,1,5,no,14,31-45,2,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Andersson, Mr. Johan Samuel",male,26,3rd,S,Sweden,347075,7.1506,0,0,no,1212,16-30,Minimum,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Andersson, Mrs. Alfrida Konstantia Brogren",female,39,3rd,S,Sweden,347082,31.0506,1,5,no,41,31-45,2,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Andreasson, Mr. Pål Edvin",male,20,3rd,S,Sweden,347466,7.1701,0,0,no,42,16-30,Minimum,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Andrew, Mr. Edgar Samuel",male,17,2nd,S,Argentina,231945,11.1,0,0,no,43,16-30,1,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Andrew, Mr. Frank Thomas",male,27,2nd,S,England,34050,10.1,0,0,no,1096,16-30,1,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Andrews, Miss. Kornelia Theodosia",female,62,1st,C,United States,13502,77.1902,1,0,yes,276,60+,3,D7,Passenger,1,"Cherbourg, France",Bridge D,1,0
"Andrews, Mr. Thomas",male,39,1st,B,Northern Ireland,112050,,0,0,no,46,31-45,#N/A,No cabin found,Passenger,0,Boarded elswhere,No bridge found,0,0
"Angheloff, Mr. Minko",male,26,3rd,S,Bulgaria,349202,7.1711,0,0,no,1187,16-30,Minimum,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Angle, Mrs. Florence Agnes",female,36,2nd,S,England,226875,26,1,0,yes,48,31-45,2,No cabin found,Passenger,1,"Southampton, England",No bridge found,1,0
"Angle, Mr. William",male,31,2nd,S,England,226875,26,1,0,no,49,31-45,2,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Appleton, Mrs. Charlotte",female,53,1st,S,United States,11769,51.0907,2,0,yes,50,45-60,3,No cabin found,Passenger,1,"Southampton, England",No bridge found,0,1
"Arnold-Franchi, Mr. Josef",male,25,3rd,S,Switzerland,349237,17.16,1,0,no,354,16-30,2,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Arnold-Franchi, Mrs. Josefine",female,18,3rd,S,Switzerland,349237,17.16,1,0,no,52,16-30,2,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Aronsson, Mr. Ernst Axel Algot",male,25,3rd,S,Sweden,349911,7.1506,0,0,no,1278,16-30,Minimum,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Artagaveytia, Mr. Ramon",male,71,1st,C,Argentina,17609,49.1001,0,0,no,494,60+,3,No cabin found,Passenger,0,"Cherbourg, France",No bridge found,0,0
"Ashby, Mr. John",male,57,2nd,S,England,244346,13,0,0,no,1279,45-60,1,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Asim, Mr. Adola",male,35,3rd,S,Argentina,3101310,7.01,0,0,no,364,31-45,Minimum,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Asplund, Master. Carl Edgar",male,5,3rd,S,Sweden,347077,31.0709,4,2,no,1271,0-15,3,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Asplund, Master. Clarence Gustaf Hugo",male,9,3rd,S,Sweden,347077,31.0709,4,2,no,183,0-15,3,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Asplund, Master. Edvin Rojj Felix",male,3,3rd,S,Sweden,347077,31.0709,4,2,yes,262,0-15,3,No cabin found,Passenger,1,"Southampton, England",No bridge found,1,0
"Asplund, Master. Filip Oscar",male,13,3rd,S,Sweden,347077,31.0709,4,2,no,1046,0-15,3,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Asplund, Miss. Lillian Gertrud",female,5,3rd,S,Sweden,347077,31.0709,4,2,yes,234,0-15,3,No cabin found,Passenger,1,"Southampton, England",No bridge found,1,0
"Asplund, Mr. Carl Oscar Vilhelm Gustafsson",male,40,3rd,S,Sweden,347077,31.0709,1,5,no,1066,31-45,3,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Asplund, Mr. Johan Charles",male,23,3rd,S,Sweden,350054,7.1511,0,0,yes,1118,16-30,Minimum,No cabin found,Passenger,1,"Southampton, England",No bridge found,0,1
"Asplund, Mrs. Selma Augusta Emilia",female,38,3rd,S,Sweden,347077,31.0709,1,5,yes,64,31-45,3,No cabin found,Passenger,1,"Southampton, England",No bridge found,0,1
"Assaf, Mrs. Mariana",female,45,3rd,C,Lebanon,2696,7.0406,0,0,yes,65,45-60,Minimum,No cabin found,Passenger,1,"Cherbourg, France",No bridge found,0,1
"Assam, Mr. Ali",male,23,3rd,S,Argentina,3101309,7.01,0,0,no,1217,16-30,Minimum,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Astor, Colonel. John Jacob",male,47,1st,C,United States,17757,247.1006,1,0,no,67,45-60,3,F33,Passenger,0,"Cherbourg, France",Bridge F,1,1
"Astor, Mrs. Madeleine Talmage",female,18,1st,C,United States,17757,247.1006,1,0,yes,68,16-30,3,No cabin found,Passenger,1,"Cherbourg, France",No bridge found,0,1
"Attalah, Miss. Malake",female,17,3rd,C,Lebanon,2627,14.0902,0,0,no,115,16-30,2,No cabin found,Passenger,0,"Cherbourg, France",No bridge found,0,0
"Attala, Mr. Sleiman",male,27,3rd,C,Canada,2694,7.0406,0,0,no,70,16-30,Minimum,No cabin found,Passenger,0,"Cherbourg, France",No bridge found,0,0
"Aubart, Mme. Léontine Pauline",female,24,1st,C,France,17477,69.06,0,0,yes,71,16-30,3,No cabin found,Passenger,1,"Cherbourg, France",No bridge found,0,1
"Augustsson, Mr. Albert",male,23,3rd,S,Sweden,347468,7.1701,0,0,no,834,16-30,Minimum,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Ayoub Daher, Miss. Banoura",female,15,3rd,C,Lebanon,2687,7.0407,0,0,yes,73,16-30,Minimum,No cabin found,Passenger,1,"Cherbourg, France",No bridge found,0,1
"Backström, Mr. Karl Alfred",male,32,3rd,S,Finland,3101278,15.17,1,0,no,74,31-45,2,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Backström, Mrs. Maria Mathilda",female,33,3rd,S,Finland,3101278,15.17,3,0,yes,75,31-45,2,No cabin found,Passenger,1,"Southampton, England",No bridge found,1,0
"Baclini, Miss. Eugenie",female,3,3rd,C,Lebanon,2666,19.0502,2,1,yes,645,0-15,2,No cabin found,Passenger,1,"Cherbourg, France",No bridge found,1,0
"Baclini, Miss. Helene Barbara",female,0.75,3rd,C,Lebanon,2666,19.0502,2,1,yes,470,0-15,2,No cabin found,Passenger,1,"Cherbourg, France",No bridge found,1,0
"Baclini, Miss. Marie Catherine",female,5,3rd,C,Lebanon,2666,19.0502,2,1,yes,449,0-15,2,No cabin found,Passenger,1,"Cherbourg, France",No bridge found,1,0
"Baclini, Mrs. Latifa",female,23,3rd,C,Lebanon,2666,19.0502,0,3,yes,79,16-30,2,No cabin found,Passenger,1,"Cherbourg, France",No bridge found,1,0
"Badman, Miss. Emily Louisa",female,18,3rd,S,England,31416,8.01,0,0,yes,979,16-30,1,No cabin found,Passenger,1,"Southampton, England",No bridge found,1,0
"Badt, Mr. Mohamed",male,40,3rd,C,Lebanon,2623,7.0406,0,0,no,662,31-45,Minimum,No cabin found,Passenger,0,"Cherbourg, France",No bridge found,0,0
"Bailey, Mr. Percy",male,18,2nd,S,England,29108,11.1,0,0,no,82,16-30,1,No cabin found,Passenger,0,"Southampton, England",No bridge found,1,1
"Bainbrigge, Mr. Charles Robert",male,22,2nd,S,Channel Islands,31030,10.1,0,0,no,83,16-30,1,No cabin found,Passenger,0,"Southampton, England",No bridge found,1,1
"Balkic, Mr. Cerin",male,26,3rd,S,Bosnia,349248,7.1711,0,0,no,871,16-30,Minimum,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Balls, Mrs. Ada E.",female,36,2nd,S,England,28551,13,0,0,yes,85,31-45,1,No cabin found,Passenger,1,"Southampton, England",No bridge found,1,0
"Banfield, Mr. Frederick James",male,28,2nd,S,England,34068,10.1,0,0,no,884,16-30,1,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Banski, Mrs. Mara",female,31,3rd,S,Hungary,349244,8.1308,0,0,yes,87,31-45,1,No cabin found,Passenger,1,"Southampton, England",No bridge found,0,1
"Barbara, Miss. Saiide",female,18,3rd,C,Lebanon,2691,14.0901,0,1,no,703,16-30,1,No cabin found,Passenger,0,"Cherbourg, France",No bridge found,0,0
"Barbara, Mrs. Catherine David",female,45,3rd,C,Lebanon,2691,14.0901,0,1,no,89,45-60,1,C23 C25 C27,Passenger,0,"Cherbourg, France",Bridge C,1,1
"Barber, Miss. Ellen Mary",female,27,1st,S,NA,19877,78.17,0,0,yes,90,16-30,3,No cabin found,Passenger,1,"Southampton, England",No bridge found,0,1
"Barkworth, Mr. Algernon Henry",male,47,1st,S,England,27042,30,0,0,yes,91,45-60,2,No cabin found,Passenger,1,"Southampton, England",No bridge found,0,1
"Barry, Miss. Julia",female,30,3rd,Q,Ireland,330844,7.1707,0,0,no,978,31-45,Minimum,No cabin found,Passenger,0,"Queenstown, England",No bridge found,1,1
"Barton, Mr. David John",male,22,3rd,S,England,324669,8.01,0,0,no,113,16-30,1,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Bassani, Mrs. Albina",female,32,1st,C,Italy,11813,76.051,0,0,yes,94,31-45,3,No cabin found,Passenger,1,"Cherbourg, France",No bridge found,0,1
"Bateman, Revd. Robert James",male,52,2nd,S,England,1166,12.1006,0,0,no,95,45-60,1,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Batoshev, Mr. Hristo Lalev",male,23,3rd,S,Bulgaria,349217,7.1711,0,0,no,96,16-30,Minimum,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Baumann, Mr. John D.",male,60,1st,C,United States,17318,25.1806,0,0,no,97,60+,2,A5,Passenger,0,"Cherbourg, France",Bridge A,0,0
"Baxter, Mr. Quigg Edmond",male,24,1st,C,Canada,17558,247.1005,0,1,no,119,16-30,3,B58 B60,Passenger,0,"Cherbourg, France",Bridge B,0,0
"Baxter, Mrs. Hélène",female,50,1st,C,Canada,17558,247.1005,0,1,yes,99,45-60,3,No cabin found,Passenger,1,"Cherbourg, France",No bridge found,1,0
"Beane, Mr. Edward",male,32,2nd,S,England,2908,26,1,0,yes,544,31-45,2,No cabin found,Passenger,1,"Southampton, England",No bridge found,1,0
"Beane, Mrs. Ethel",female,22,2nd,S,England,2908,26,1,0,yes,101,16-30,2,No cabin found,Passenger,1,"Southampton, England",No bridge found,0,1
"Beattie, Mr. Thomson",male,36,1st,S,Canada,13050,75.041,0,0,no,1010,31-45,3,C6,Passenger,0,"Southampton, England",Bridge C,0,0
"Beauchamp, Mr. Henry James",male,44,2nd,S,England,244358,26,0,0,no,1035,45-60,2,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Beavan, Mr. William Thomas",male,20,3rd,S,England,323951,8.01,0,0,no,373,16-30,1,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Becker, Master. Richard F.",male,1,2nd,S,India,230136,39,2,1,yes,105,0-15,3,No cabin found,Passenger,1,"Southampton, England",No bridge found,0,1
"Becker, Miss. Marion Louise",female,4,2nd,S,India,230136,39,2,1,yes,619,0-15,3,F4,Passenger,1,"Southampton, England",Bridge F,1,0
"Becker, Miss. Ruth Elizabeth",female,12,2nd,S,India,230136,39,2,1,yes,1218,0-15,3,F4,Passenger,1,"Southampton, England",Bridge F,1,0
"Becker, Mrs. Nellie E.",female,35,2nd,S,United States,230136,39,0,3,yes,108,31-45,3,No cabin found,Passenger,1,"Southampton, England",No bridge found,1,0
"Beckwith, Mr. Richard Leonard",male,37,1st,S,United States,11751,52.1101,1,1,yes,249,31-45,3,D35,Passenger,1,"Southampton, England",Bridge D,1,0
"Beckwith, Mrs. Sallie",female,46,1st,S,United States,11751,52.1101,1,1,yes,110,45-60,3,No cabin found,Passenger,1,"Southampton, England",No bridge found,1,0
"Beesley, Mr. Lawrence",male,34,2nd,S,England,248698,13,0,0,yes,22,31-45,1,D56,Passenger,1,"Southampton, England",Bridge D,1,0
"Behr, Mr. Karl Howell",male,26,1st,C,United States,111369,30,0,0,yes,890,16-30,2,C148,Passenger,1,"Cherbourg, France",Bridge C,1,0
"Bengtsson, Mr. Johan Viktor",male,26,3rd,S,Sweden,347068,7.1506,0,0,no,113,16-30,Minimum,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Bentham, Miss. Lillian W.",female,19,2nd,S,United States,28404,13,0,0,yes,114,16-30,1,No cabin found,Passenger,1,"Southampton, England",No bridge found,0,1
"Berglund, Mr. Karl Ivar Sven",male,22,3rd,S,Finland,4348,9.07,0,0,no,226,16-30,1,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Berriman, Mr. William John",male,23,2nd,S,England,28425,13,0,0,no,734,16-30,1,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Bessette, Miss. Nellie Mayo",female,39,1st,C,United States,17760,63.0702,0,0,yes,117,31-45,3,No cabin found,Passenger,1,"Cherbourg, France",No bridge found,0,1
"Bidois, Miss. Rosalie",female,46,1st,C,NA,17757,247.1006,0,0,yes,381,45-60,3,No cabin found,Passenger,1,"Cherbourg, France",No bridge found,1,0
"Bing, Mr. Lee",male,32,3rd,S,NA,1601,56.0911,0,0,yes,75,31-45,3,No cabin found,Passenger,1,"Southampton, England",No bridge found,1,0
"Bird, Miss. Ellen",female,31,1st,S,England,17483,221.1507,0,0,yes,1048,31-45,3,C97,Passenger,1,"Southampton, England",Bridge C,1,0
"Birkeland, Mr. Hans Martin Monsen",male,21,3rd,S,Norway,312992,7.1506,0,0,no,409,16-30,Minimum,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Birnbaum, Mr. Jakob",male,24,1st,C,NA,13905,26,0,0,no,986,16-30,2,No cabin found,Passenger,0,"Cherbourg, France",No bridge found,0,0
"Bishop, Mr. Dickinson H.",male,25,1st,C,United States,11967,91.0107,1,0,yes,123,16-30,3,No cabin found,Passenger,1,"Cherbourg, France",No bridge found,0,1
"Bishop, Mrs. Helen",female,19,1st,C,United States,11967,91.0107,1,0,yes,124,16-30,3,E101,Passenger,1,"Cherbourg, France",Bridge E,1,0
"Björklund, Mr. Ernst Herbert",male,18,3rd,S,Sweden,347090,7.15,0,0,no,125,16-30,Minimum,D26,Passenger,0,"Southampton, England",Bridge D,0,0
"Björnström-Steffansson, Mr. Mauritz Hokan",male,28,1st,S,Sweden,110564,26.11,0,0,yes,126,16-30,2,No cabin found,Passenger,1,"Southampton, England",No bridge found,1,0
"Blackwell, Mr. Stephen Weart",male,45,1st,S,United States,113784,35.1,0,0,no,340,45-60,3,T,Passenger,0,"Southampton, England",Bridge T,0,0
"Blank, Mr. Henry",male,39,1st,C,United States,112277,31,0,0,yes,210,31-45,2,A31,Passenger,1,"Cherbourg, France",Bridge A,1,0
"Bonnell, Miss. Caroline",female,30,1st,S,United States,36928,164.1704,0,0,yes,1292,31-45,3,C7,Passenger,1,"Southampton, England",Bridge C,1,0
"Bonnell, Miss. Elizabeth",female,61,1st,S,England,113783,26.11,0,0,yes,12,60+,2,C103,Passenger,1,"Southampton, England",Bridge C,1,0
"Borebank, Mr. John James",male,41,1st,S,England,110489,26.11,0,0,no,1050,31-45,2,D22,Passenger,0,"Southampton, England",Bridge D,0,0
"Bostandyeff, Mr. Guentcho",male,26,3rd,S,NA,349224,7.1711,0,0,no,629,16-30,Minimum,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Botsford, Mr. William Hull",male,25,2nd,S,United States,237670,13,0,0,no,1238,16-30,1,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Bourke, Miss. Mary",female,40,3rd,Q,Ireland,364848,7.15,0,2,no,594,31-45,Minimum,No cabin found,Passenger,0,"Queenstown, England",No bridge found,0,0
"Bourke, Mr. John",male,42,3rd,Q,Ireland,364849,15.1,1,1,no,189,31-45,2,No cabin found,Passenger,0,"Queenstown, England",No bridge found,0,0
"Bourke, Mrs. Catherine",female,32,3rd,Q,Ireland,364849,15.1,1,1,no,136,31-45,2,No cabin found,Passenger,0,"Queenstown, England",No bridge found,0,0
"Bowen, Miss. Grace Scott",female,45,1st,C,United States,17608,262.0706,0,0,yes,1267,45-60,3,No cabin found,Passenger,1,"Cherbourg, France",No bridge found,1,0
"Bowen, Mr. David John 'Dai'",male,26,3rd,S,Wales,54636,16.02,0,0,no,138,16-30,2,C123,Passenger,0,"Southampton, England",Bridge C,0,0
"Bowenur, Mr. Solomon",male,42,2nd,S,NA,211535,13,0,0,no,1020,31-45,1,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Bowerman, Miss. Elsie Edith",female,22,1st,S,England,113505,55,0,1,yes,357,16-30,3,E33,Passenger,1,"Southampton, England",Bridge E,1,0
"Bracken, Mr. James Hollen",male,30,2nd,S,United States,220367,13,0,0,no,141,31-45,1,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Bradley, Miss. Bridget Delia",female,22,3rd,Q,Ireland,334914,7.1406,0,0,yes,955,16-30,Minimum,No cabin found,Passenger,1,"Queenstown, England",No bridge found,1,0
"Brady, Mr. John Bertram",male,41,1st,S,United States,113054,30.1,0,0,no,920,31-45,2,A21,Passenger,0,"Southampton, England",Bridge A,0,0
"Braf, Miss. Elin Ester Maria",female,20,3rd,S,Sweden,347471,7.1701,0,0,no,990,16-30,Minimum,No cabin found,Passenger,0,"Southampton, England",No bridge found,1,1
"Brailey, Mr. William Theodore Ronald",male,24,2nd,S,England,250654,,NA,NA,no,145,16-30,#N/A,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Brandeis, Mr. Emil Franklin",male,48,1st,C,United States,17591,50.0911,0,0,no,146,45-60,3,No cabin found,Passenger,0,"Cherbourg, France",No bridge found,0,0
"Braund, Mr. Lewis Richard",male,29,3rd,S,England,3460,7,1,0,no,478,31-45,Minimum,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Braund, Mr. Owen Harris",male,23,3rd,S,England,21171,7.05,1,0,no,1,16-30,Minimum,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Brereton, Mr. George Andrew",male,37,1st,S,United States,111427,26.11,0,0,yes,149,31-45,2,F2,Passenger,1,"Southampton, England",Bridge F,0,1
"Brewe, Dr. Arthur Jackson",male,46,1st,C,United States,112379,39.12,0,0,no,767,45-60,3,No cabin found,Passenger,0,"Cherbourg, France",No bridge found,0,0
"Bricoux, Mr. Roger Marie",male,20,2nd,S,France,250654,,NA,NA,no,151,16-30,#N/A,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Brito, Mr. José Joaquim de",male,32,2nd,S,NA,244360,13,0,0,no,152,31-45,1,C2,Passenger,0,"Southampton, England",Bridge C,1,1
"Brobäck, Mr. Karl Rudolf",male,22,3rd,S,Sweden,350045,7.1511,0,0,no,153,16-30,Minimum,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Brocklebank, Mr. William Alfred",male,40,3rd,S,England,364512,8.01,0,0,no,615,31-45,1,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Brown, Miss. Amelia Mary",female,18,2nd,S,England,248733,13,0,0,yes,155,16-30,1,No cabin found,Passenger,1,"Southampton, England",No bridge found,0,1
"Brown, Miss. Edith Eileen",female,15,2nd,S,South Africa,29750,39,0,2,yes,1067,16-30,3,No cabin found,Passenger,1,"Southampton, England",No bridge found,1,0
"Brown, Mrs. Caroline Lane",female,59,1st,S,United States,11769,51.0907,2,0,yes,157,60+,3,No cabin found,Passenger,1,"Southampton, England",No bridge found,1,0
"Brown, Mrs. Elizabeth Catherine",female,40,2nd,S,South Africa,29750,39,1,1,yes,158,31-45,3,No cabin found,Passenger,1,"Southampton, England",No bridge found,0,1
"Brown, Mrs. Margaret",female,44,1st,C,United States,17610,27.1405,0,0,yes,159,45-60,2,No cabin found,Passenger,1,"Cherbourg, France",No bridge found,0,1
"Brown, Mr. Thomas William Solomon",male,60,2nd,S,South Africa,29750,39,1,1,no,685,60+,3,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Bryhl, Miss. Dagmar Jenny Ingeborg",female,20,2nd,S,Sweden,236853,26,1,0,yes,161,16-30,2,No cabin found,Passenger,1,"Southampton, England",No bridge found,0,1
"Bryhl, Mr. Kurt Arnold Gottfrid",male,25,2nd,S,Sweden,236853,26,1,0,no,729,16-30,2,No cabin found,Passenger,0,"Southampton, England",No bridge found,0,0
"Buckley, Miss. Katherine",female,22,3rd,Q,Ireland,329944,7.0508,0,0,no,1005,16-30,Minimum,No cabin found,Passenger,0,"Queenstown, England",No bridge found,1,1
